android.app.Activity.checkCallingOrSelfUriPermission,0,android.app.Activity.checkCallingOrSelfUriPermission,0
android.app.Activity.checkCallingUriPermission,0,android.app.Activity.checkCallingUriPermission,0
android.app.Activity.checkUriPermission,0,android.app.Activity.checkUriPermission,0
android.app.Activity.enforceCallingOrSelfUriPermission,0,android.app.Activity.enforceCallingOrSelfUriPermission,0
android.app.Activity.enforceCallingUriPermission,0,android.app.Activity.enforceCallingUriPermission,0
android.app.Activity.enforceUriPermission,0,android.app.Activity.enforceUriPermission,0
android.app.Activity.grantUriPermission,0,android.app.Activity.grantUriPermission,0
android.app.Activity.revokeUriPermission,0,android.app.Activity.revokeUriPermission,0
android.app.ActivityManager.getRunningTasks,0,android.app.ActivityManager.getRunningTasks,0
android.app.DownloadManager$Request.<init>,0,android.app.DownloadManager$Request.<init>,0
android.app.DownloadManager.enqueue,0,android.app.DownloadManager.enqueue,0
android.app.NotificationManager.notify,0,android.app.NotificationManager.notify,0
android.content.ContentResolver.delete,0,android.content.ContentResolver.delete,0
android.content.ContentResolver.insert,0,android.content.ContentResolver.insert,0
android.content.ContentResolver.registerContentObserver,0,android.content.ContentResolver.query,0
android.content.ContentResolver.update,0,android.content.ContentResolver.registerContentObserver,0
android.content.ContentUris.withAppendedId,0,android.content.ContentResolver.update,0
android.content.Context.bindService,0,android.content.ContentUris.withAppendedId,0
android.content.Context.sendBroadcast,0,android.content.Context.bindService,0
android.content.Context.startService,0,android.content.Context.sendBroadcast,0
android.content.Intent.<init>,0,android.content.Context.startService,0
android.content.Intent.setData,0,android.content.Intent.<init>,0
android.content.Intent.setDataAndType,0,android.content.Intent.setData,0
android.location.LocationManager.getBestProvider,0,android.content.Intent.setDataAndType,0
android.location.LocationManager.getLastKnownLocation,0,android.location.LocationManager.getBestProvider,0
android.location.LocationManager.getProviders,0,android.location.LocationManager.getLastKnownLocation,0
android.location.LocationManager.isProviderEnabled,0,android.location.LocationManager.getProviders,0
android.location.LocationManager.requestSingleUpdate,0,android.location.LocationManager.isProviderEnabled,0
android.media.AudioManager.isWiredHeadsetOn,0,android.location.LocationManager.requestSingleUpdate,0
android.media.AudioRecord.<init>,0,android.media.AudioManager.isWiredHeadsetOn,0
android.media.MediaPlayer.reset,0,android.media.AudioRecord.<init>,0
android.media.MediaPlayer.setDataSource,0,android.media.MediaPlayer.reset,0
android.media.MediaRecorder.setAudioSource,0,android.media.MediaPlayer.setDataSource,0
android.media.MediaRecorder.start,0,android.media.MediaRecorder.setAudioSource,0
android.media.MediaScannerConnection.scanFile,0,android.media.MediaRecorder.start,0
